Station,TEMP,Elev,POINT_X,POINT_Y
50136,-1045.0,433.0,5473928.503,3209653.795
50246,-940.4166666666666,361.9,5621191.187000001,3199563.1739999996
50349,-1003.75,494.6,5626513.511,3108424.145
50353,-863.3333333333334,177.4,5770514.642000001,3144551.515
50425,-441.25,581.4,5382630.522999999,2908127.877
50434,-777.5,732.6,5467613.916,2941348.606
50442,-844.5833333333334,371.7,5648287.259,2974749.295
50468,-717.0833333333334,166.4,5865502.005,3017634.508
50514,-806.25,661.7,5203646.235,2781576.216
50527,-408.3333333333333,610.2,5359169.346,2784110.9460000005
50548,-764.1666666666666,286.1,5633412.356000001,2839046.236
50557,-477.5,242.2,5751009.737000001,2864036.7819999997
50564,-634.1666666666666,234.5,5887461.864,2917406.67
50603,-405.8333333333333,554.2,5167195.972,2665659.9390000002
50618,-293.3333333333333,642.0,5289627.033,2654087.139
50632,-660.4166666666666,739.7,5519613.5139999995,2736504.1010000003
50639,-546.25,306.5,5592637.469,2697348.4439999997
50656,-277.0833333333333,269.7,5857254.291,2779403.828
50658,-192.08333333333334,234.6,5807139.622,2750191.686
50727,-187.5,997.2,5409877.671,2554057.42
